trip_id,software_version,car_age
1,1,5
2,1,3
3,4,7
4,1,9
5,14,6
6,4,10
7,9,2
8,13,3
9,1,4
10,9,5
11,4,2
12,8,6
13,2,10
14,12,2
15,4,3
16,3,2
17,9,6
18,13,1
19,2,9
20,4,8
21,8,7
22,1,3
23,2,9
24,10,3
25,11,3
26,13,4
27,9,4
28,14,9
29,5,6
30,10,2
31,8,6
32,9,5
33,5,9
34,14,4
35,14,5
36,14,10
37,4,3
38,14,1
39,12,1
40,2,4
41,8,6
42,5,10
43,14,10
44,1,9
45,13,1
46,14,6
47,13,4
48,1,7
49,3,3
50,12,1
51,12,1
52,12,6
53,4,2
54,14,2
55,3,9
56,9,9
57,1,4
58,3,6
59,10,8
60,7,8
61,11,5
62,9,2
63,7,5
64,8,6
65,5,3
66,12,4
67,8,3
68,8,4
69,12,10
70,13,7
71,2,1
72,1,7
73,8,2
74,2,8
75,2,10
76,9,9
77,11,7
78,3,3
79,12,6
80,13,3
81,10,5
82,14,10
83,8,8
84,7,3
85,4,4
86,14,10
87,7,6
88,5,10
89,6,1
90,10,8
91,2,9
92,12,6
93,8,3
94,8,10
95,9,9
96,2,9
97,3,4
98,5,5
99,10,4
100,11,8
101,6,5
102,2,2
103,11,1
104,12,4
105,11,7
106,10,2
107,10,1
108,3,6
109,6,7
110,14,3
111,2,3
112,3,5
113,5,9
114,7,5
115,10,9
116,13,4
117,1,7
118,1,4
119,12,8
120,8,9
121,4,6
122,14,10
123,1,4
124,5,1
125,11,10
126,5,10
127,3,2
128,1,5
129,13,4
130,7,6
131,12,2
132,13,2
133,14,9
134,12,6
135,1,3
136,12,10
137,12,10
138,12,10
139,8,5
140,12,3
141,1,6
142,6,1
143,13,9
144,12,4
145,2,2
146,6,8
147,7,8
148,7,7
149,10,8
150,6,10
151,10,4
152,4,1
153,11,5
154,1,10
155,5,8
156,8,9
157,3,7
158,9,2
159,6,6
160,9,8
161,9,4
162,6,1
163,4,5
164,9,2
165,2,10
166,3,3
167,8,4
168,10,7
169,4,3
170,3,1
171,13,9
172,3,3
173,10,10
174,6,8
175,4,8
176,10,6
177,4,6
178,7,6
179,6,3
180,10,8
181,1,5
182,11,9
183,11,8
184,10,6
185,11,5
186,7,9
187,3,3
188,7,8
189,10,1
190,12,6
191,14,5
192,1,10
193,11,8
194,11,2
195,4,6
196,13,9
197,12,2
198,6,8
199,13,6
200,3,10
201,6,7
202,7,7
203,4,2
204,1,7
205,10,6
206,8,5
207,8,1
208,3,8
209,13,7
210,3,4
211,1,6
212,6,9
213,10,7
214,7,4
215,6,8
216,4,1
217,9,9
218,6,3
219,6,2
220,5,4
221,12,6
222,2,10
223,10,3
224,3,2
225,3,4
226,4,10
227,12,2
228,1,8
229,12,2
230,10,8
231,2,5
232,5,7
233,11,8
234,7,8
235,5,1
236,11,6
237,5,10
238,6,7
239,13,2
240,10,6
241,5,4
242,13,3
243,2,5
244,14,10
245,2,10
246,7,1
247,4,3
248,9,3
249,10,9
250,8,3
251,4,1
252,14,4
253,3,1
254,6,9
255,2,2
256,10,3
257,2,8
258,14,10
259,1,7
260,13,6
261,14,1
262,5,3
263,4,7
264,8,1
265,12,1
266,1,1
267,1,8
268,14,10
269,4,2
270,2,4
271,1,10
272,2,4
273,14,4
274,10,3
275,7,7
276,3,9
277,6,7
278,4,1
279,8,3
280,12,1
281,12,8
282,2,2
283,11,4
284,7,8
285,4,4
286,10,3
287,12,3
288,1,2
289,14,10
290,6,3
291,11,4
292,10,7
293,3,6
294,10,1
295,12,5
296,8,8
297,12,10
298,3,5
299,1,6
300,12,6
301,4,8
302,1,2
303,6,3
304,8,10
305,8,3
306,9,4
307,6,4
308,4,9
309,11,2
310,12,5
311,1,2
312,6,1
313,14,4
314,2,8
315,5,4
316,10,1
317,8,3
318,9,4
319,1,9
320,9,1
321,14,10
322,6,10
323,2,4
324,3,5
325,10,5
326,6,3
327,8,10
328,6,1
329,7,3
330,13,3
331,12,3
332,2,7
333,7,6
334,1,1
335,13,7
336,10,6
337,10,9
338,10,8
339,2,1
340,13,6
341,1,3
342,14,7
343,3,4
344,13,8
345,9,3
346,2,1
347,3,6
348,9,9
349,8,8
350,12,4
351,4,5
352,10,4
353,5,6
354,4,10
355,14,7
356,8,5
357,9,7
358,3,9
359,7,7
360,8,3
361,3,4
362,9,7
363,11,1
364,14,9
365,2,1
366,6,3
367,7,3
368,4,3
369,8,8
370,11,7
371,9,2
372,7,8
373,4,4
374,4,2
375,12,1
376,10,6
377,5,7
378,5,2
379,1,1
380,1,7
381,13,6
382,1,1
383,10,8
384,5,5
385,3,6
386,11,1
387,6,7
388,9,6
389,5,9
390,1,9
391,1,10
392,14,1
393,12,6
394,12,6
395,5,3
396,3,7
397,1,8
398,11,9
399,8,8
400,13,4
401,4,1
402,9,9
403,9,2
404,10,1
405,2,7
406,12,7
407,9,10
408,5,6
409,4,7
410,11,3
411,9,6
412,4,8
413,3,3
414,10,1
415,13,9
416,12,2
417,14,10
418,1,3
419,8,9
420,11,7
421,8,3
422,1,8
423,4,6
424,13,4
425,4,3
426,4,6
427,11,3
428,14,5
429,1,4
430,6,7
431,7,9
432,3,2
433,7,2
434,3,3
435,11,10
436,1,7
437,8,10
438,8,5
439,11,2
440,12,3
441,14,3
442,3,10
443,14,2
444,2,8
445,3,5
446,7,3
447,1,9
448,2,7
449,10,3
450,13,2
451,10,9
452,14,7
453,1,4
454,10,6
455,4,8
456,5,5
457,7,3
458,13,5
459,7,9
460,7,5
461,10,3
462,14,7
463,6,3
464,12,10
465,1,1
466,4,8
467,8,1
468,9,4
469,2,2
470,3,6
471,5,8
472,13,4
473,6,9
474,4,8
475,5,10
476,4,8
477,10,3
478,1,6
479,13,8
480,5,8
481,14,7
482,8,2
483,3,1
484,13,5
485,1,9
486,10,5
487,12,4
488,7,1
489,11,3
490,2,2
491,10,7
492,2,10
493,9,6
494,12,8
495,5,4
496,4,1
497,3,9
498,13,6
499,6,10
500,1,1
501,14,1
502,4,1
503,12,2
504,10,7
505,1,5
506,3,9
507,5,10
508,11,6
509,14,7
510,1,8
511,13,10
512,10,9
513,1,5
514,13,4
515,9,5
516,12,2
517,14,6
518,3,7
519,4,5
520,6,1
521,10,9
522,8,7
523,14,5
524,4,7
525,4,6
526,13,2
527,2,10
528,5,6
529,8,2
530,1,7
531,10,3
532,11,9
533,13,5
534,3,5
535,13,10
536,12,8
537,13,1
538,4,9
539,11,9
540,8,3
541,3,3
542,6,7
543,12,6
544,5,2
545,10,4
546,7,9
547,11,5
548,12,2
549,9,5
550,10,10
551,6,4
552,7,4
553,1,1
554,4,2
555,11,9
556,14,1
557,2,8
558,10,5
559,9,4
560,12,5
561,3,6
562,13,3
563,11,4
564,13,2
565,14,8
566,4,1
567,9,5
568,10,8
569,6,7
570,8,1
571,1,8
572,4,10
573,13,5
574,14,1
575,9,5
576,10,10
577,9,8
578,4,7
579,11,6
580,8,6
581,3,7
582,12,8
583,7,2
584,14,3
585,14,1
586,10,8
587,11,8
588,13,8
589,8,6
590,4,6
591,5,8
592,7,4
593,6,3
594,11,5
595,14,2
596,5,6
597,4,6
598,8,6
599,4,4
600,3,1
601,10,8
602,2,4
603,10,2
604,4,9
605,12,7
606,13,4
607,8,10
608,3,1
609,14,6
610,2,4
611,10,2
612,7,5
613,2,9
614,1,10
615,7,5
616,7,10
617,13,5
618,9,6
619,11,3
620,9,3
621,3,3
622,8,10
623,4,1
624,8,10
625,5,10
626,3,2
627,10,7
628,10,5
629,4,7
630,4,7
631,8,2
632,13,5
633,7,9
634,14,10
635,13,3
636,11,6
637,2,6
638,7,9
639,11,6
640,7,8
641,13,6
642,7,2
643,7,4
644,1,10
645,8,5
646,1,4
647,13,5
648,8,7
649,10,7
650,7,9
651,10,1
652,6,1
653,7,2
654,2,1
655,12,3
656,2,3
657,4,1
658,11,1
659,6,2
660,7,9
661,5,9
662,7,8
663,6,3
664,2,2
665,3,1
